SAMD00099400	Neisseria	gonorrhoeae	FC025	132	2160918	0.5239233475470864	4.6276628729086435E-5	80601	0.8305007640624985	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Neisseriaceae	Neisseria	Neisseria gonorrhoeae	7363	99.99	0.09	SAMD00099400		2015-01-01	Japan	Homo sapiens			9606	Illumina MiSeq	ILLUMINA				Kyoto &amp; Osaka in 2015	DRS058666	DRS058666	DRP004052			FC025	PRJDB6496	DRA006566
SAMD00099401	Neisseria	gonorrhoeae	FC026	126	2158961	0.523943412753299	4.631857638929096E-5	59166	0.8317274711062917	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Neisseriaceae	Neisseria	Neisseria gonorrhoeae	7363	99.99	0.09	SAMD00099401		2015-01-01	Japan	Homo sapiens			9606	Illumina MiSeq	ILLUMINA				Kyoto &amp; Osaka in 2015	DRS058667	DRS058667	DRP004052			FC026	PRJDB6496	DRA006566
SAMD00099402	Neisseria	gonorrhoeae	FC425	146	2145936	0.5245888041395457	0.0	47370	0.8284002877998226	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Neisseriaceae	Neisseria	Neisseria gonorrhoeae	1901	99.99	0.13	SAMD00099402		2015-01-01	Japan	Homo sapiens			9606	Illumina MiSeq	ILLUMINA				Kyoto &amp; Osaka in 2015	DRS058668	DRS058668	DRP004052			FC425	PRJDB6496	DRA006566
SAMD00099403	Neisseria	gonorrhoeae	FC426	148	2083322	0.527630756587632	4.80002611214205E-5	38853	0.8278973628350699	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Neisseriaceae	Neisseria	Neisseria gonorrhoeae	7819	100.0	0.1	SAMD00099403		2015-01-01	Japan	Homo sapiens			9606	Illumina MiSeq	ILLUMINA				Kyoto &amp; Osaka in 2015	DRS058669	DRS058669	DRP004052			FC426	PRJDB6496	DRA006566
SAMD00099404	Neisseria	gonorrhoeae	FC427	134	2141335	0.5249258056305997	0.0	46231	0.8309073545241636	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Neisseriaceae	Neisseria	Neisseria gonorrhoeae	1901	99.99	0.13	SAMD00099404		2015-01-01	Japan	Homo sapiens			9606	Illumina MiSeq	ILLUMINA				Kyoto &amp; Osaka in 2015	DRS058670	DRS058670	DRP004052			FC427	PRJDB6496	DRA006566
SAMD00099405	Neisseria	gonorrhoeae	FC428	137	2203322	0.5231783270138007	4.538601257555636E-5	59181	0.8346607831621143	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Neisseriaceae	Neisseria	Neisseria gonorrhoeae	1903	99.99	0.83	SAMD00099405		2015-01-01	Japan	Homo sapiens			9606	Illumina MiSeq	ILLUMINA				Kyoto &amp; Osaka in 2015	DRS058671	DRS058671	DRP004052			FC428	PRJDB6496	DRA006566
SAMD00099406	Neisseria	gonorrhoeae	FC429	132	2083011	0.5267475783853278	0.0	52555	0.8323225369429158	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Neisseriaceae	Neisseria	Neisseria gonorrhoeae	7819	99.99	0.09	SAMD00099406		2015-01-01	Japan	Homo sapiens			9606	Illumina MiSeq	ILLUMINA				Kyoto &amp; Osaka in 2015	DRS058672	DRS058672	DRP004052			FC429	PRJDB6496	DRA006566
SAMD00099407	Neisseria	gonorrhoeae	FC430	110	2140370	0.5252129503731012	9.344178810205713E-5	60120	0.8354462495969947	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Neisseriaceae	Neisseria	Neisseria gonorrhoeae	7359	99.99	0.13	SAMD00099407		2015-01-01	Japan	Homo sapiens			9606	Illumina MiSeq	ILLUMINA				Kyoto &amp; Osaka in 2015	DRS058673	DRS058673	DRP004052			FC430	PRJDB6496	DRA006566
SAMD00099408	Neisseria	gonorrhoeae	FC431	149	2156331	0.5237985262930412	0.0	47200	0.8278524957439279	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Neisseriaceae	Neisseria	Neisseria gonorrhoeae	13840	99.99	0.13	SAMD00099408		2015-01-01	Japan	Homo sapiens			9606	Illumina MiSeq	ILLUMINA				Kyoto &amp; Osaka in 2015	DRS058674	DRS058674	DRP004052			FC431	PRJDB6496	DRA006566
SAMD00099409	Neisseria	gonorrhoeae	FC432	131	2150473	0.5242746258439814	4.6501397599504855E-5	53223	0.8309921116011036	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Neisseriaceae	Neisseria	Neisseria gonorrhoeae	7363	100.0	0.09	SAMD00099409		2015-01-01	Japan	Homo sapiens			9606	Illumina MiSeq	ILLUMINA				Kyoto &amp; Osaka in 2015	DRS058675	DRS058675	DRP004052			FC432	PRJDB6496	DRA006566
